"241",childcare,Do you need help with Child Care?,Daycare Council of New York: Childcare Services,https://www.dccnyinc.org/
"62",childcare,Do you need help with Child Care?,WHEDCo: Childcare Services,http://whedco.org/home-based-childcare/
"53",domesticviolence,Do you need help with Domestic Violence?,Family Justice Center: Domestic Violence Services,http://www1.nyc.gov/site/ocdv/programs/family-justice-centers.page
"64",domesticviolence,Do you need help with Domestic Violence?,Sanctuary for Families: Domestic Violence Services,https://www.domesticshelters.org/ny/new-york/10268/sanctuary-for-families#.WhL6uLQ-dZ0
"565",domesticviolence,Do you need help with Domestic Violence?,New Yorkers for Children: Youth with history of involvement in foster system,http://www.newyorkersforchildren.org/
"6666",domesticviolence,Do you need help with Domestic Violence?,HRA Childcare Vouchers,http://www1.nyc.gov/site/hra/help/child-support-services.page
"79",finances,Do you need help with Finances/Benefits?,HRA Cash Assistance,http://www1.nyc.gov/site/hra/help/cash-assistance.page
"800",finances,Do you need help with Finances/Benefits?,HRA SNAP,http://www1.nyc.gov/site/hra/help/snap-benefits-food-program.page
"99",finances,Do you need help with Finances/Benefits?,"Single Stop: Benefit Screenings
"810",Hosted on LaGuardia Community College--is that correct??",http://ekstg.laguardia.edu/singlestop/Benefit-Screening-Form/
"11",housing,Do you need help with Housing?,"The Community Service Society: Rental Assistance, Financial Support, Healthcare Navigation/Enrollment",http://www.cssny.org/programs
"12",housing,Do you need help with Housing?,"Safe Horizon: Homeless Services, Domestic Violence Services",https://www.safehorizon.org/
"13",housing,Do you need help with Housing?,Coalition for the Homeless: Homeless Services,http://www.coalitionforthehomeless.org/
"14",jobsearch,Do you need support with your job search?,"Career Gear: Interview and Professional Attire (Men, those who identify as Men)",http://careergear.org/
"15",jobsearch,Do you need support with your job search?,"Bottomless Closet: Interview and Professional Attire (Womenn, those who identify as Women)",http://bottomlessclosetnyc.org/
"16",jobsearch,Do you need support with your job search?,Grace Outreach: College Prep (Women),https://graceoutreachbronx.org/
"17",jobsearch,Do you need support with your job search?,"Brooklyn Workforce Initiatives: Other Workforce Development Program
"18",Is this actually Brooklyn Workforce INNOVATIONS?",https://bwiny.org/
"19",jobsearch,Do you need support with your job search?,GreenCity Force: Youth Workforce Development Program (NYCHA Residents),http://www.greencityforce.org/
"20",jobsearch,Do you need support with your job search?,JobsFirst: Youth Workforce Development Orgs,http://www.jobsfirstnyc.org/
"21",legalsvcs,Are you in need of Legal Services?,"The Next Door Project at the Community Service Society: Rap Sheet Review and Repair, Legal Services 25+",http://www.cssny.org/programs/entry/the-next-door-project
"22",legalsvcs,Are you in need of Legal Services?,Youth Represent: Legal Services 24 and under,http://youthrepresent.org/services/
"23",legalsvcs,Are you in need of Legal Services?,Urban Justice Center: Legal Services,https://www.urbanjustice.org/
"24",legalsvcs,Are you in need of Legal Services?,"LegalAid: Legal Services- Immigration Services
"25",(the link is definitely wrong)",http://www1.nyc.gov/site/dycd/services/immigration.page
"26",legalsvcs,Are you in need of Legal Services?,CUNY Citizenship Now: Immigration Services,http://www1.cuny.edu/sites/citizenship-now/
"27",lgbtq,Are you interested in LGBTQ resources?,The Gay Center,https://gaycenter.org/
"28",lgbtq,Are you interested in LGBTQ resources?,Hetrick Martin Institute,https://www.hmi.org/
"29",lgbtq,Are you interested in LGBTQ resources?,SCO- Family Therapy Intervention Pilot for LGBTQ Youth,http://sco.org/programs/program-finder/
"30",mentalhealth,Do you need Mental Health resources?,Thrive NYC/NYC WELL (provides immediate counseling and can connect you with options for in-person therapy in your preferred geographic area),https://nycwell.cityofnewyork.us/en/
"31",mentalhealth,Do you need Mental Health resources?,"Henry Street Settlement, Community Consultation Center Out-Patient Mental Health Services",https://www.henrystreet.org/programs/primary-behaviorial-health/mental-health-services/
"32",mentalhealth,Do you need Mental Health resources?,Institute for Contemporary Psychotherapy,http://icpnyc.org/at/therapy-services/
"33",mentalhealth,Do you need Mental Health resources?,The Gestalt Center,http://www.gestaltnyc.org/find-a-gestalt-therapist.html
"34",mentalhealth,Do you need Mental Health resources?,Low-Cost Therapy Sessions through The New School,no google results>>>??
"35",mentalhealth,Do you need Mental Health resources?,Western Queens Consultation Center,http://mhpwq.org/western-queens-consultation-center/
"36",physicalhealth,Do you need general Health Care resources?,The Door: Healthcare Services and Youth Homeless Services (under 24),https://www.door.org/
"37",physicalhealth,Do you need general Health Care resources?,Community Counseling and Mediation,http://ccmnyc.org/
"38",physicalhealth,Do you need general Health Care resources?,NYU Free Clinic,http://nycfreeclinic.med.nyu.edu/
"39",physicalhealth,Do you need general Health Care resources?,The Fifth Avenue Counseling Center,http://www.tfacc.org/
"40",physicalhealth,Do you need general Health Care resources?,Housing Works,https://www.housingworks.org/services
"41",physicalhealth,Do you need general Health Care resources?,HRA Healthcare,http://www1.nyc.gov/site/hra/help/health-assistance.page
"42",physicalhealth,Do you need general Health Care resources?,Office of Child Support Enforcement Agency: Child Support Options,https://www.acf.hhs.gov/css/parents/how-do-you-get-child-support
